,CART,NPY,AgRP,GLP1R,Npy2R,Ghsr,Insr,Lepr,Oxtr,Cckar,Cckbr,MC4R
2,1.36933998,0.748760058,2.16136057,1.297955577,1.560878703,4.597757145,1.468208804,1.883721397,1.611839604,1.990702937,1.074095931,0.820853831
6,1.669095289,0.670231887,1.381644463,2.179845914,3.6120356,2.853085062,1.652634411,2.870864469,1.493576166,2.871239947,4.28900872,4.68637431
7,1.430304323,1.504685421,1.663849996,2.07042756,3.752371495,2.621706938,1.534293575,2.275885944,2.664511926,4.892259206,2.609463052,1.668384534
3,0.450856041,1.787492394,0.688038166,0.8647516,1.32585356,0.425615804,1.204578215,0.918812577,1.214724678,2.791818692,3.417702559,3.339488129
4,1.267757241,0.936040764,0.497659279,1.09216536,0.968282853,1.218026355,1.067142145,1.46787806,0.946401335,4.658524984,2.17198426,1.494192268
5,0.717363754,1.620437797,0.505528068,0.851639554,1.052833434,0.66267004,1.046266028,1.017618037,0.680621814,10.81109613,3.987861548,2.852354011
8,1.441576082,1.491329109,3.302486758,2.029503407,1.176980012,1.397744628,1.07326125,1.684096648,3.324714613,4.313377817,2.178942031,1.220582618
9,1.635858889,1.120715361,2.096149876,1.974594675,3.467910417,2.441648816,1.627237309,1.207334222,2.021300763,2.851944352,1.495831067,1.816500002
10,0.987596624,0.625003839,0.750892207,15.5858388,0.888173587,1.281927831,0.923169962,1.424158287,1.425192906,2.31659018,2.067180673,1.414573961
11,1.928146595,1.376996945,3.712264719,1.837701206,1.348649382,1.955233412,1.274095796,1.243199442,1.433519315,3.672958545,2.522238239,1.756136121
15,0.700899089,1.406216995,0.757153156,0.955155041,1.684892813,0.964211417,1.044925312,0.425237891,2.102497164,3.228595281,2.804344162,5.653935539
16,0.524241338,1.809417356,0.593365619,1.988396736,1.115680048,0.285622582,1.264766747,0.82433753,0.709779956,2.910052583,3.302106531,4.529312148
12,0.929339463,1.613863995,0.587694133,1.981847523,1.572982919,0.68892203,1.154957302,1.153984218,1.055851617,2.976074238,2.732345637,4.699657039
13,1.155925278,1.293710142,2.798720846,1.604201267,1.248246613,0.984442585,0.983197641,0.316655338,1.431464256,0.851154485,1.99846781,2.815994525
17,0.466216699,0.752855471,0.641350326,1.434366558,0.949944141,0.907814194,0.957501686,0.746884767,1.350927894,3.74343563,1.908595849,1.307053145
18,1.416385094,0.889480238,1.223876373,2.583476687,1.392880545,1.780122662,1.279700565,1.503858998,1.766212646,6.70873559,2.142510306,2.405070114
20,1.955894835,1.910508798,2.942658771,1.029190394,35.18039368,4.993323762,1.447272784,2.323422144,2.585066971,5.748969123,3.245874833,3.048189553
21,0.952285023,1.344226995,0.675680707,1.328842711,1.551758336,2.661632691,1.297361531,1.386720117,1.732144622,4.667919941,4.469220287,5.521214946
25,1.794617768,1.229718321,3.317018526,1.506991024,0.995050749,2.390661648,1.160771836,1.278349773,1.091196708,4.987331068,4.874873697,2.522142299
22,1.610094796,1.30547029,2.019590698,0.776993258,2.460880569,1.346955893,1.150888167,1.954170659,2.401661919,3.2051515,3.892073149,2.066956623
23,0.368545361,1.088320531,0.531860449,1.576954257,0.48079057,0.538377185,1.006150513,0.806812027,0.965691404,2.345705785,2.013720485,1.856490224
26,2.026885906,0.739928381,1.827501599,0.633334402,2.003935081,2.397801122,1.441461716,1.140324152,2.60370771,3.796601157,3.16688881,1.654992672
27,1.600303479,1.075506258,2.130266371,0.868182366,0.91540476,1.301557844,0.818397904,0.680334867,1.083015105,6.027531454,2.589188591,1.982040887
28,1.810289841,1.373062662,2.595347532,2.311137276,1.359226055,1.174820315,0.912018429,3.221479657,1.480043014,3.834765016,2.084685741,1.590301553
29,0.662634452,1.483485336,0.57708253,1.165499226,1.004541967,1.472969264,1.045659586,46.75640715,2.320446071,2.986841595,6.094659678,4.441241792
32,1.277624437,0.307122775,0.42212976,0.713414899,0.3275325,0.573464982,0.736408665,0.627188682,1.383968048,2.859154108,3.781968508,3.920611485
33,1.134051676,0.645992723,2.061789375,1.498693754,1.155243508,1.386928563,0.749742185,0.918418137,1.06250751,1.880611164,3.720335743,3.612300084
30,0.483235339,0.501844787,0.418715068,0.98837941,0.821507731,0.481822749,1.384865852,2.47717186,0.572124624,1.739209952,1.06058447,1.433799597
31,0.734916434,0.725930163,0.278932781,0.498615436,0.50026398,0.293882999,0.736312132,2.87647215,1.482713325,7.77074955,2.518630225,3.349626825
34,1.527428875,1.186657769,2.260776732,1.542924506,1.52821038,1.748723775,0.892429586,2.193241982,1.442366592,4.188025713,3.177618702,1.470486688
35,1.672221254,1.077690387,1.368407507,1.01692473,1.755561637,1.095788937,0.697655019,1.002480857,1.6777811,4.85829024,3.377551406,3.397093367
36,1.33017218,0.991370858,1.543281498,1.501449077,1.478442431,2.079878365,1.121223192,11.29166642,1.510023673,5.195234288,2.386397966,2.254985594